window,reference,matching,metric,population,mean_age,estimate,se_cps,se_meps,se_joint,ci95_low,ci95_high,standard_mass
w1_pre1990,,,partial_absolute_total,2939241.14785462,61.299687871443616,-8025280430.699734,1552981109.2277052,1920189259.4323697,2469590475.6978526,-12865677763.067524,-3184883098.3319426,
w1_pre1990,,,partial_absolute_per_person,2939241.14785462,61.299687871443616,-2730.39197091993,513.4354140483936,653.2942221613678,830.9086984190692,-4358.973019821306,-1101.8109220185543,
w1_pre1990,third_plus_nh_white,common_support,partial_common_age_gap_per_person_common_support,2939241.14785462,61.299687871443616,-4901.167731344879,473.1947736029378,585.0775554723419,752.4819198376974,-6376.032294226766,-3426.3031684629923,0.6174367810226045
w1_pre1990,third_plus_nh_white,window_support,partial_common_age_gap_per_person_window_support,2939241.14785462,61.299687871443616,-4901.167731344879,473.1947736029378,585.0775554723419,752.4819198376974,-6376.032294226766,-3426.3031684629923,0.6174367810226045
w1_pre1990,third_plus_nh_white,age_band,partial_age_matched_gap_total,2939241.14785462,61.299687871443616,-14516576555.041954,1775623930.6256409,2008953730.2440608,2681181723.283966,-19771692732.678528,-9261460377.40538,
w1_pre1990,all_native,common_support,partial_common_age_gap_per_person_common_support,2939241.14785462,61.299687871443616,-3886.434499968249,442.3755322205877,575.7685839247267,726.0892326306274,-5309.569395924278,-2463.2996040122193,0.6174367810226045
w1_pre1990,all_native,window_support,partial_common_age_gap_per_person_window_support,2939241.14785462,61.299687871443616,-3886.434499968249,442.3755322205877,575.7685839247267,726.0892326306274,-5309.569395924278,-2463.2996040122193,0.6174367810226045
w1_pre1990,all_native,age_band,partial_age_matched_gap_total,2939241.14785462,61.299687871443616,-11180132997.534422,1628529732.5881157,1977139103.955981,2561481627.167249,-16200636986.78223,-6159629008.286613,
w1_pre1990,,,complete_absolute_total,2939241.14785462,61.299687871443616,-27298721256.033638,1934409941.9203045,1920189259.4323697,2725631782.805511,-32640959550.33244,-21956482961.734837,
w1_pre1990,,,complete_absolute_per_person,2939241.14785462,61.299687871443616,-9287.676608623702,561.4331224335455,653.2942221613678,861.3945040891003,-10976.009836638339,-7599.343380609065,
