measure,eta,convention,group,most_costly_weighted,most_costly_variant,most_costly_unweighted,least_costly_weighted,least_costly_variant,least_costly_unweighted,most_costly_equal_split,least_costly_equal_split
spm,0.0,a,fiscal_a,-248.87478333191214,A=-258.43,-248.87478333191214,-206.97373230324902,A=-216.53,-206.97373230324902,-248.87478333191214,-206.97373230324902
spm,0.0,a,wages_a,-3.0906534461507227,below_ba_s2.5,-3.0906534461507227,6.610208154537876,below_ba_s2.0_eps3,6.610208154537876,-3.0906534461507227,6.610208154537876
spm,0.0,a,housing,0.4531428309653069,national_uniform_low_intp,0.4531428309653069,5.168229655617012,metro_local_high_scf,5.168229655617012,0.4531428309653069,5.168229655617012
spm,0.0,a,crime,-45.34239999999999,envelope_high,-45.34239999999999,-15.4099,envelope_low,-15.4099,-45.34239999999999,-15.4099
spm,0.0,a,unreimbursed_care,-5.5581,high,-5.5581,-3.2435000000000005,low,-3.2435000000000005,-5.5581,-3.2435000000000005
spm,0.0,a,TOTAL,-302.41279394709755,,-302.41279394709755,-213.84869449309414,,-213.84869449309414,-302.41279394709755,-213.84869449309414
spm,0.0,b,fiscal_b,-248.87478333191217,A=-258.43,-248.87478333191217,-206.97373230324902,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324902
spm,0.0,b,wages_b,-3.0906534461507222,below_ba_s2.5,-3.0906534461507222,6.61020815453788,below_ba_s2.0_eps3,6.61020815453788,-3.0906534461507222,6.61020815453788
spm,0.0,b,housing,0.4531428309653069,national_uniform_low_intp,0.4531428309653069,5.168229655617012,metro_local_high_scf,5.168229655617012,0.4531428309653069,5.168229655617012
spm,0.0,b,crime,-45.34239999999999,envelope_high,-45.34239999999999,-15.4099,envelope_low,-15.4099,-45.34239999999999,-15.4099
spm,0.0,b,unreimbursed_care,-5.5581,high,-5.5581,-3.2435000000000005,low,-3.2435000000000005,-5.5581,-3.2435000000000005
spm,0.0,b,TOTAL,-302.4127939470976,,-302.41279394709755,-213.84869449309414,,-213.84869449309414,-302.4127939470976,-213.84869449309414
spm,1.0,a,fiscal_a,-185.24312216735706,A=-258.43,-248.87478333191214,-154.05522353524992,A=-216.53,-206.97373230324902,-107.2074276151791,-89.15777294540717
spm,1.0,a,wages_a,-59.27077100927677,below_ba_s1.5,1.2379621067949491,-31.97999432031581,hs_or_less_s2.5,-2.5418155720324775,-34.30230941007441,-18.508071371911125
spm,1.0,a,housing,-69.59147296772748,national_uniform_high_intp,1.0805152632490604,-26.011064931016595,metro_local_low_scf,2.300984975503333,-40.275302605194604,-15.053618877500648
spm,1.0,a,crime,-98.21117579124412,envelope_high,-45.34239999999999,-33.377686179502916,envelope_low,-15.4099,-56.83864208534062,-19.316970223695492
spm,1.0,a,unreimbursed_care,-7.577377441442211,high,-5.5581,-4.421875052862995,low,-3.2435000000000005,-4.385324184033089,-2.559111745184744
spm,1.0,a,TOTAL,-419.8939193770476,,-297.4568059618681,-249.84584401894824,,-225.86796289977818,-243.0090058998218,-144.59554516369917
spm,1.0,b,fiscal_b,-430.02936381061403,A=-258.43,-248.87478333191217,-357.62876911950207,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324902
spm,1.0,b,wages_b,-56.119983098669096,below_ba_s1.5,1.237962106794952,-34.363505236538806,hs_or_less_s2.5,-2.5418155720324775,-32.47882542370497,-19.887502203303118
spm,1.0,b,housing,-69.59147296772748,national_uniform_high_intp,1.0805152632490604,-26.011064931016595,metro_local_low_scf,2.300984975503333,-40.275302605194604,-15.053618877500648
spm,1.0,b,crime,-98.21117579124412,envelope_high,-45.34239999999999,-33.377686179502916,envelope_low,-15.4099,-56.83864208534062,-19.316970223695492
spm,1.0,b,unreimbursed_care,-7.577377441442211,high,-5.5581,-4.421875052862995,low,-3.2435000000000005,-4.385324184033089,-2.559111745184744
spm,1.0,b,TOTAL,-661.529373109697,,-297.45680596186816,-455.8029005194234,,-225.86796289977818,-382.85287763018545,-263.79093535293305
spm,1.3,a,fiscal_a,-195.33520180279308,A=-258.43,-248.87478333191214,-162.44818067169908,A=-216.53,-206.97373230324902,-87.2889252652632,-72.59278906853521
spm,1.3,a,wages_a,-81.16229564557342,below_ba_s1.5,1.2379621067949491,-44.30838664972094,hs_or_less_s2.5,-2.5418155720324775,-36.268780504376835,-19.799971613905868
spm,1.3,a,housing,-103.97244915157516,national_uniform_high_intp,1.0805152632490604,-39.079843929806216,metro_local_low_scf,2.300984975503333,-46.46189350345992,-17.46350655019636
spm,1.3,a,crime,-135.56870821787555,envelope_high,-45.34239999999999,-46.07387868235119,envelope_low,-15.4099,-60.581230268395,-20.58891237148762
spm,1.3,a,unreimbursed_care,-9.117004878415242,high,-5.5581,-5.3203442405030215,low,-3.2435000000000005,-4.074091869413621,-2.3774881665394796
spm,1.3,a,TOTAL,-525.1556596962325,,-297.4568059618681,-297.2306341740805,,-225.86796289977818,-234.6749214109086,-132.82266777066454
spm,1.3,b,fiscal_b,-556.9321179981523,A=-258.43,-248.87478333191217,-463.1659244797841,A=-216.53,-206.97373230324902,-248.87478333191217,-206.97373230324902
