measure,channel,decile,bn
spm,fiscal_a,1,-2.6353758775261316
spm,fiscal_a,2,-4.275708520563668
spm,fiscal_a,3,-6.243423688509773
spm,fiscal_a,4,-8.3311945444801
spm,fiscal_a,5,-10.975296680315582
spm,fiscal_a,6,-13.59513977602348
spm,fiscal_a,7,-17.724963011937778
spm,fiscal_a,8,-22.567522324331538
spm,fiscal_a,9,-31.732010932782053
spm,fiscal_a,10,-109.84362246111064
spm,fiscal_b,1,-22.79246424177479
spm,fiscal_b,2,-22.793763238533334
spm,fiscal_b,3,-22.78986991367272
spm,fiscal_b,4,-22.79352319650525
spm,fiscal_b,5,-22.793396365276084
spm,fiscal_b,6,-22.791272379217805
spm,fiscal_b,7,-22.792616157143744
spm,fiscal_b,8,-22.79276748294511
spm,fiscal_b,9,-22.79338827248345
spm,fiscal_b,10,-22.79119657002806
spm,wages,1,-1.3662013679329907
spm,wages,2,-3.424121491732998
spm,wages,3,-5.039326546772815
spm,wages,4,-6.018652060806568
spm,wages,5,-6.518028325712088
spm,wages,6,-5.31086888042368
spm,wages,7,-3.8735435537957117
spm,wages,8,-0.31734613732044464
spm,wages,9,6.0387867873782435
spm,wages,10,24.360204313932776
spm,renters,1,-4.329303240248458
spm,renters,2,-3.4631954026480516
spm,renters,3,-3.356073614027502
spm,renters,4,-3.2301887751172846
spm,renters,5,-3.1239962818456735
spm,renters,6,-3.205692912074304
spm,renters,7,-3.0771655627252414
spm,renters,8,-3.054570338348055
spm,renters,9,-3.3513590392990094
spm,renters,10,-3.666989948243293
spm,landlords,1,0.3115970208832418
spm,landlords,2,0.29247967977514017
spm,landlords,3,0.49668736037696304
spm,landlords,4,0.8129320610180599
spm,landlords,5,1.1830848297755867
spm,landlords,6,1.3666361125726953
spm,landlords,7,1.634097863387483
spm,landlords,8,2.5909017044743723
spm,landlords,9,4.557792739879254
spm,landlords,10,24.119904329622024
spm,crime,1,-5.960855513559315
spm,crime,2,-4.451121851290254
spm,crime,3,-3.449676876807877
spm,crime,4,-3.0305893031037496
spm,crime,5,-2.865843330907417
spm,crime,6,-2.654250262540797
spm,crime,7,-2.5397530698683823
spm,crime,8,-2.498354592125737
spm,crime,9,-2.407685944077572
spm,crime,10,-2.4799692557188844
spm,unreimbursed_care,1,-0.20948184102073794
spm,unreimbursed_care,2,-0.2415303048744846
spm,unreimbursed_care,3,-0.31991265648108774
spm,unreimbursed_care,4,-0.4045781152095669
spm,unreimbursed_care,5,-0.4547763548904892
spm,unreimbursed_care,6,-0.5124502387871914
spm,unreimbursed_care,7,-0.5415117668159123
spm,unreimbursed_care,8,-0.5613163330627045
spm,unreimbursed_care,9,-0.5688946912056687
spm,unreimbursed_care,10,-0.5863476976521561
spm,housing_net,1,-4.01770621936521
spm,housing_net,2,-3.170715722872898
spm,housing_net,3,-2.8593862536505084
spm,housing_net,4,-2.4172567140992176
spm,housing_net,5,-1.9409114520701103
spm,housing_net,6,-1.8390567995015934
spm,housing_net,7,-1.4430676993377383
spm,housing_net,8,-0.46366863387367274
spm,housing_net,9,1.2064337005802632
spm,housing_net,10,20.452914381378594
spm,TOTAL_a,1,-14.189620819404372
spm,TOTAL_a,2,-15.563197891334315
spm,TOTAL_a,3,-17.911726022221963
spm,TOTAL_a,4,-20.202270737699244
spm,TOTAL_a,5,-22.7548561438959
spm,TOTAL_a,6,-23.911765957276792
spm,TOTAL_a,7,-26.122839101755464
spm,TOTAL_a,8,-26.40820802071391
spm,TOTAL_a,9,-27.463371080106853
spm,TOTAL_a,10,-68.09682071917035
spm,TOTAL_b,1,-34.34670918365276
spm,TOTAL_b,2,-34.08125260930398
spm,TOTAL_b,3,-34.45817224738506
spm,TOTAL_b,4,-34.664599389724266
spm,TOTAL_b,5,-34.57295582885628
spm,TOTAL_b,6,-33.10789856047126
spm,TOTAL_b,7,-31.190492246961536
spm,TOTAL_b,8,-26.633453179327535
spm,TOTAL_b,9,-18.52474841980816
spm,TOTAL_b,10,18.95560517191229
spm,fiscal_a_cps_tax_fields,1,-2.1429651058099655
spm,fiscal_a_cps_tax_fields,2,-2.426676551689012
spm,fiscal_a_cps_tax_fields,3,-4.773637129411786
spm,fiscal_a_cps_tax_fields,4,-7.865101681892977
spm,fiscal_a_cps_tax_fields,5,-11.283662228120626
spm,fiscal_a_cps_tax_fields,6,-15.110381047432707
spm,fiscal_a_cps_tax_fields,7,-20.691735027316856
spm,fiscal_a_cps_tax_fields,8,-28.41523180528278
spm,fiscal_a_cps_tax_fields,9,-40.40152200497852
spm,fiscal_a_cps_tax_fields,10,-94.8133452356456
spm,wages_pretax,1,-2.1808441218890824
spm,wages_pretax,2,-5.479151214154366
spm,wages_pretax,3,-8.037967871532025
spm,wages_pretax,4,-9.510442812376118
spm,wages_pretax,5,-10.182699999649962
spm,wages_pretax,6,-8.005099549251753
spm,wages_pretax,7,-5.3920422731052895
spm,wages_pretax,8,0.8188547635516589
spm,wages_pretax,9,11.82652163508772
spm,wages_pretax,10,44.22960796464777
spm,fiscal_A_only_a,1,-2.7458652746903387
spm,fiscal_A_only_a,2,-4.454969650224761
spm,fiscal_A_only_a,3,-6.505182219984087
spm,fiscal_A_only_a,4,-8.680483870047293
spm,fiscal_A_only_a,5,-11.435441255610437
spm,fiscal_A_only_a,6,-14.165122529157657
spm,fiscal_A_only_a,7,-18.468090584231096
spm,fiscal_A_only_a,8,-23.513676517502887
spm,fiscal_A_only_a,9,-33.06239070466554
spm,fiscal_A_only_a,10,-114.44886899598181
spm,TOTAL_a_pretax_wages,1,-15.11475297052467
spm,TOTAL_a_pretax_wages,2,-17.797488743416707
spm,TOTAL_a_pretax_wages,3,-21.172125878455624
spm,TOTAL_a_pretax_wages,4,-24.043350814835946
spm,TOTAL_a_pretax_wages,5,-26.879672393128285
spm,TOTAL_a_pretax_wages,6,-27.175979379238996
spm,TOTAL_a_pretax_wages,7,-28.38446539335855
spm,TOTAL_a_pretax_wages,8,-26.218161313013635
spm,TOTAL_a_pretax_wages,9,-23.006016004280806
spm,TOTAL_a_pretax_wages,10,-52.83266360332608
spm,fiscal_published_a,1,-2.1130809135199677
spm,fiscal_published_a,2,-3.4283223670769063
spm,fiscal_published_a,3,-5.006063667696856
spm,fiscal_published_a,4,-6.68006728333875
spm,fiscal_published_a,5,-8.800145031745693
spm,fiscal_published_a,6,-10.900771545468674
spm,fiscal_published_a,7,-14.21212106886697
spm,fiscal_published_a,8,-18.094952259237058
spm,fiscal_published_a,9,-25.443166275245876
spm,fiscal_published_a,10,-88.07413928078817
spm,uncomp_inside_published_a,1,-0.054339158949611735
spm,uncomp_inside_published_a,2,-0.08816139166425783
spm,uncomp_inside_published_a,3,-0.12873396736035056
spm,uncomp_inside_published_a,4,-0.1717819869466233
spm,uncomp_inside_published_a,5,-0.22630107375448066
spm,uncomp_inside_published_a,6,-0.2803199602498454
spm,uncomp_inside_published_a,7,-0.3654733242021662
spm,uncomp_inside_published_a,8,-0.46532268627725926
spm,uncomp_inside_published_a,9,-0.6542864722150683
spm,uncomp_inside_published_a,10,-2.2648799783803377
spm,fiscal_A_only_b,1,-23.74804923268086
spm,fiscal_A_only_b,2,-23.74940269050154
spm,fiscal_A_only_b,3,-23.745346136129346
spm,fiscal_A_only_b,4,-23.749152584596242
spm,fiscal_A_only_b,5,-23.749020435906836
spm,fiscal_A_only_b,6,-23.746807400714967
spm,fiscal_A_only_b,7,-23.748207517174706
spm,fiscal_A_only_b,8,-23.748365187382632
spm,fiscal_A_only_b,9,-23.74901200382027
spm,fiscal_A_only_b,10,-23.746728413188507
spm,TOTAL_b_pretax_wages,1,-36.11693692851495
spm,TOTAL_b_pretax_wages,2,-37.09192178369339
spm,TOTAL_b_pretax_wages,3,-38.412289794600916
spm,TOTAL_b_pretax_wages,4,-39.11201952938482
spm,TOTAL_b_pretax_wages,5,-39.19325157342509
spm,TOTAL_b_pretax_wages,6,-36.75766425079634
spm,TOTAL_b_pretax_wages,7,-33.664582326302074
spm,TOTAL_b_pretax_wages,8,-26.45284998289313
spm,TOTAL_b_pretax_wages,9,-13.692637303435479
spm,TOTAL_b_pretax_wages,10,37.86947697946699
spm,fiscal_published_b,1,-18.27531380707301
spm,fiscal_published_b,2,-18.27635536068249
spm,fiscal_published_b,3,-18.273233638835013
spm,fiscal_published_b,4,-18.276162891656536
spm,fiscal_published_b,5,-18.27606119661872
spm,fiscal_published_b,6,-18.274358155151806
spm,fiscal_published_b,7,-18.275435614921943
spm,fiscal_published_b,8,-18.275556950047214
spm,fiscal_published_b,9,-18.276054707705313
spm,fiscal_published_b,10,-18.274297370292587
spm,uncomp_inside_published_b,1,-0.4699607930120999
spm,uncomp_inside_published_b,2,-0.46998757719569706
spm,uncomp_inside_published_b,3,-0.46990730022259053
spm,uncomp_inside_published_b,4,-0.46998262773780425
spm,uncomp_inside_published_b,5,-0.469980012588152
spm,uncomp_inside_published_b,6,-0.4699362178425853
spm,uncomp_inside_published_b,7,-0.4699639253749092
spm,uncomp_inside_published_b,8,-0.469967045581341
spm,uncomp_inside_published_b,9,-0.46997984572180607
spm,uncomp_inside_published_b,10,-0.4699346547230148
spm,crime_equal_footing,1,-5.33133175917007
spm,crime_equal_footing,2,-3.9810405126813215
spm,crime_equal_footing,3,-3.085357772951394
spm,crime_equal_footing,4,-2.71052988348489
spm,crime_equal_footing,5,-2.563182672708202
spm,crime_equal_footing,6,-2.3739358703260427
spm,crime_equal_footing,7,-2.2715306839829448
spm,crime_equal_footing,8,-2.23450428422059
spm,crime_equal_footing,9,-2.1534111186841103
spm,crime_equal_footing,10,-2.218060616417233
spm,TOTAL_a_published_band,1,-13.092141259958595
spm,TOTAL_a_published_band,2,-14.333891790902927
spm,TOTAL_a_published_band,3,-16.438780864913006
spm,TOTAL_a_published_band,4,-18.402866043885492
spm,TOTAL_a_published_band,5,-20.503344910880948
spm,TOTAL_a_published_band,6,-21.217403294757133
spm,TOTAL_a_published_band,7,-22.707248097001557
spm,TOTAL_a_published_band,8,-22.13711033399175
spm,TOTAL_a_published_band,9,-21.57453806939198
spm,TOTAL_a_published_band,10,-48.330308877926576
spm,TOTAL_b_published_band,1,-29.669995787574006
spm,TOTAL_b_published_band,2,-29.563750970039937
spm,TOTAL_b_published_band,3,-30.04712416891346
spm,TOTAL_b_published_band,4,-30.29716229299462
spm,TOTAL_b_published_band,5,-30.2229400145878
spm,TOTAL_b_published_band,6,-28.78060616203281
spm,TOTAL_b_published_band,7,-26.875053244229186
spm,TOTAL_b_published_band,8,-22.322359384106242
spm,TOTAL_b_published_band,9,-14.223119875358504
spm,TOTAL_b_published_band,10,23.26447835622646
spm,crime_tangible,1,-0.9221738810104789
spm,crime_tangible,2,-0.6900135938317417
spm,crime_tangible,3,-0.5361984734487398
spm,crime_tangible,4,-0.47204487932993655
spm,crime_tangible,5,-0.4467897456605148
spm,crime_tangible,6,-0.4141587220991844
spm,crime_tangible,7,-0.39660631536541496
spm,crime_tangible,8,-0.3902958503580342
spm,crime_tangible,9,-0.37650894964883636
spm,crime_tangible,10,-0.38808152556860537
spm,crime_intangible,1,-5.0386816325488235
spm,crime_intangible,2,-3.7611082574585057
spm,crime_intangible,3,-2.913478403359112
spm,crime_intangible,4,-2.5585444237738115
spm,crime_intangible,5,-2.4190535852469326
spm,crime_intangible,6,-2.2400915404416173
spm,crime_intangible,7,-2.1431467545029648
spm,crime_intangible,8,-2.108058741767694
spm,crime_intangible,9,-2.03117699442873
spm,crime_intangible,10,-2.0918877301502934
spm,crime_all_violent_key,1,-5.084499345794992
spm,crime_all_violent_key,2,-4.019009052189292
spm,crime_all_violent_key,3,-3.3411946257185368
spm,crime_all_violent_key,4,-3.0916680556417893
spm,crime_all_violent_key,5,-2.987881702062665
spm,crime_all_violent_key,6,-2.823790523304393
spm,crime_all_violent_key,7,-2.7516151713892247
spm,crime_all_violent_key,8,-2.7312094509737705
spm,crime_all_violent_key,9,-2.691893634249726
spm,crime_all_violent_key,10,-2.8153384386756315
spm,crime_dollar_brackets,1,-6.057642564220069
spm,crime_dollar_brackets,2,-4.150703864030699
spm,crime_dollar_brackets,3,-3.2340670975107604
spm,crime_dollar_brackets,4,-2.936093208345547
spm,crime_dollar_brackets,5,-2.736565137016156
spm,crime_dollar_brackets,6,-2.6240258689083946
spm,crime_dollar_brackets,7,-2.603830259024849
spm,crime_dollar_brackets,8,-2.5916774432667378
spm,crime_dollar_brackets,9,-2.634961938217968
spm,crime_dollar_brackets,10,-2.7685326194587807
spm,crime_race_mix,1,-6.306574522495421
spm,crime_race_mix,2,-4.784891785330094
spm,crime_race_mix,3,-3.6082698576520156
spm,crime_race_mix,4,-3.077897098499311
spm,crime_race_mix,5,-2.7956402008247885
spm,crime_race_mix,6,-2.5200729271581293
spm,crime_race_mix,7,-2.399682083676247
spm,crime_race_mix,8,-2.3264919755940436
spm,crime_race_mix,9,-2.239292936229332
spm,crime_race_mix,10,-2.2792866125406746
spm,wages_account_split,1,-1.4576791249780627
spm,wages_account_split,2,-3.4739095877522215
spm,wages_account_split,3,-4.649974442558928
spm,wages_account_split,4,-5.45905015475431
spm,wages_account_split,5,-4.553616171736391
spm,wages_account_split,6,-3.1020022403880936
spm,wages_account_split,7,-1.5795148872873628
spm,wages_account_split,8,1.32031030070039
spm,wages_account_split,9,6.229170995699229
spm,wages_account_split,10,16.570595757009652
spm,wages_eps3,1,-1.8164146208675775
spm,wages_eps3,2,-4.746367497662063
spm,wages_eps3,3,-5.720876397616988
spm,wages_eps3,4,-6.542382689501973
spm,wages_eps3,5,-5.874868032297741
spm,wages_eps3,6,-4.312500239425146
spm,wages_eps3,7,-2.223696407616565
spm,wages_eps3,8,1.7067635437583797
spm,wages_eps3,9,8.373413582637221
spm,wages_eps3,10,24.562649334540865
spm,wages_short_run_pretax,1,-2.2929910628672445
spm,wages_short_run_pretax,2,-10.83476187389485
spm,wages_short_run_pretax,3,-16.923951962268443
spm,wages_short_run_pretax,4,-21.170836722147136
spm,wages_short_run_pretax,5,-24.751331250113683
spm,wages_short_run_pretax,6,-21.567150309771296
spm,wages_short_run_pretax,7,-18.964273922304045
spm,wages_short_run_pretax,8,-7.7443303587333
spm,wages_short_run_pretax,9,24.679574619451472
spm,wages_short_run_pretax,10,123.85746538820565
spm,renters_metro_local_low,1,-2.8317186326873514
spm,renters_metro_local_low,2,-2.2660512508184616
spm,renters_metro_local_low,3,-2.1965605379391304
spm,renters_metro_local_low,4,-2.1133448931230983
spm,renters_metro_local_low,5,-2.044207661285736
spm,renters_metro_local_low,6,-2.0984227999734055
spm,renters_metro_local_low,7,-2.0130843272157195
spm,renters_metro_local_low,8,-1.9983279890952872
spm,renters_metro_local_low,9,-2.191412377497809
spm,renters_metro_local_low,10,-2.394467504138961
spm,landlords_intp_metro_local_low,1,0.0885128884619795
spm,landlords_intp_metro_local_low,2,0.2106821859950338
spm,landlords_intp_metro_local_low,3,0.3512280217212437
spm,landlords_intp_metro_local_low,4,0.48478620322227867
spm,landlords_intp_metro_local_low,5,0.637524027373491
spm,landlords_intp_metro_local_low,6,0.8422334844787008
spm,landlords_intp_metro_local_low,7,1.1678038354070706
spm,landlords_intp_metro_local_low,8,1.6371735195518278
spm,landlords_intp_metro_local_low,9,2.7345873178886713
spm,landlords_intp_metro_local_low,10,16.294048366389845
spm,landlords_scf_metro_local_low,1,0.319241833211366
spm,landlords_scf_metro_local_low,2,0.1720556530374807
spm,landlords_scf_metro_local_low,3,0.29873524113377575
spm,landlords_scf_metro_local_low,4,0.5790137180355125
spm,landlords_scf_metro_local_low,5,0.9106564530228864
spm,landlords_scf_metro_local_low,6,0.946141533136199
